id,display_name,works_api_url,h_index,works_count,country_code
A5003657053,Jennifer Mueller,https://api.openalex.org/works?filter=author.id:A5003657053,24,78,US
A5030987696,Amir Ghasemian,https://api.openalex.org/works?filter=author.id:A5030987696,8,26,US
A5025168018,Peter R. Monge,https://api.openalex.org/works?filter=author.id:A5025168018,39,129,US
A5081593344,Jay Melican,https://api.openalex.org/works?filter=author.id:A5081593344,4,9,GB
A5053214136,Sze Yan Liu,https://api.openalex.org/works?filter=author.id:A5053214136,25,75,US
A5011511376,Shuaifu Dai,https://api.openalex.org/works?filter=author.id:A5011511376,7,19,CN
A5047912696,P. Ganti,https://api.openalex.org/works?filter=author.id:A5047912696,3,3,US
A5108669576,Libing Li,https://api.openalex.org/works?filter=author.id:A5108669576,16,65,CN
A5103380057,Thomas A. Russ,https://api.openalex.org/works?filter=author.id:A5103380057,12,20,US
A5101949384,Seongho Park,https://api.openalex.org/works?filter=author.id:A5101949384,16,143,KR
A5004136982,Arthur Spirling,https://api.openalex.org/works?filter=author.id:A5004136982,24,202,US
A5046684979,Priyank Chandra,https://api.openalex.org/works?filter=author.id:A5046684979,13,46,CA
A5100731724,Q. M. Jonathan Wu,https://api.openalex.org/works?filter=author.id:A5100731724,61,609,CN
A5052892856,Jingtao Ding,https://api.openalex.org/works?filter=author.id:A5052892856,15,76,CN
A5084715861,Petri I. Salonen,https://api.openalex.org/works?filter=author.id:A5084715861,1,1,US
A5073481219,Pamela D. Waterman,https://api.openalex.org/works?filter=author.id:A5073481219,43,98,US
A5066764516,Poornima Prabhu,https://api.openalex.org/works?filter=author.id:A5066764516,3,5,IN
A5042818380,Peter Lista,https://api.openalex.org/works?filter=author.id:A5042818380,3,6,US
A5059416594,Marco Gramaglia,https://api.openalex.org/works?filter=author.id:A5059416594,29,148,ES
A5003176624,Marcelo Cataldo,https://api.openalex.org/works?filter=author.id:A5003176624,24,55,IT
A5100462824,Jiawei Zhang,https://api.openalex.org/works?filter=author.id:A5100462824,17,75,US
A5007150791,Tim Moesgen,https://api.openalex.org/works?filter=author.id:A5007150791,3,13,FI
A5091510379,Zhen Lei,https://api.openalex.org/works?filter=author.id:A5091510379,15,69,CN
A5100398874,Tengfei Li,https://api.openalex.org/works?filter=author.id:A5100398874,35,353,US
A5043533770,William E. Breen,https://api.openalex.org/works?filter=author.id:A5043533770,11,14,US
A5015767766,Harish Kumar Sharma,https://api.openalex.org/works?filter=author.id:A5015767766,16,101,IN
A5023802054,Dan Roth,https://api.openalex.org/works?filter=author.id:A5023802054,87,815,US
A5038294819,Charlie DeTar,https://api.openalex.org/works?filter=author.id:A5038294819,1,3,NG
A5044033087,János Kertész,https://api.openalex.org/works?filter=author.id:A5044033087,66,418,AT
A5044369720,Julie Shah,https://api.openalex.org/works?filter=author.id:A5044369720,42,238,US
A5086332189,Лей Ши,https://api.openalex.org/works?filter=author.id:A5086332189,29,209,CN
A5021395390,Pamela S. Galluch,https://api.openalex.org/works?filter=author.id:A5021395390,5,14,US
A5037890470,Matthew Lenard,https://api.openalex.org/works?filter=author.id:A5037890470,9,50,US
A5115601398,Constantine Sedikides,https://api.openalex.org/works?filter=author.id:A5115601398,31,146,GB
A5112666355,Lindsey Holland,https://api.openalex.org/works?filter=author.id:A5112666355,2,3,US
A5047163184,Yookyung Kwon,https://api.openalex.org/works?filter=author.id:A5047163184,2,3,US
A5006526693,Kara D. Federmeier,https://api.openalex.org/works?filter=author.id:A5006526693,57,227,US
