document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2024/0027(COD),Granting equivalence with EU requirements to Moldova and Ukraine as regards field inspections and production of seed,VRECIONOVÁ Veronika (ECR),"BUDA Daniel (EPP), CÂRCIU Gheorghe (S&D), PENNELLE Gilles (PfE), KATAINEN Elsi (Renew), WAITZ Thomas (Greens/EFA), FLANAGAN Luke Ming (The Left), DAVID Ivan (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1774496
2023/0448(COD),Protection of animals during transport and related operations,"BUDA Daniel (EPP), METZ Tilly (Greens/EFA)","GIMÉNEZ LARRAZ Borja (EPP), VIND Marianne (S&D), NOICHL Maria (S&D), VICSEK Annamária (PfE), DELOGE Valérie (PfE), AXINIA Adrian-George (ECR), FRAGKOS Emmanouil (ECR), CASSART Benoit (Renew), CHRISTENSEN Asger (Renew), WAITZ Thomas (Greens/EFA), HAZEKAMP Anja (The Left), SAEIDI Arash (The Left), DAVID Ivan (ESN), STOYANOV Stanislav (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1768914
2023/0447(COD),Welfare of dogs and cats and their traceability,VRECIONOVÁ Veronika (ECR),"DE MEO Salvatore (EPP), NARDELLA Dario (S&D), KRIŠTOPANS Vilis (PfE), WIEZIK Michal (Renew), METZ Tilly (Greens/EFA), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1768883
2023/0413(COD),Monitoring framework for resilient European forests,"SARGIACOMO Eric (S&D), WIESNER Emma (Renew)","KÖHLER Stefan (EPP), BERNHUBER Alexander (EPP), TEMIDO Marta (S&D), DAUCHY Marie (PfE), VANNACCI Roberto (PfE), ZALEWSKA Anna (ECR), KATAINEN Elsi (Renew), ŞTEFĂNUȚĂ Nicolae (Greens/EFA), HOLMGREN Pär (Greens/EFA), CLAUSEN Per (The Left), SAEIDI Arash (The Left), STOYANOV Stanislav (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1766849
2023/0410(COD),Standing Forest and Forestry Expert Group,"TOVERI Pekka (EPP), WIESNER Emma (Renew)","BERNHUBER Alexander (EPP), TEMIDO Marta (S&D), GRAPINI Maria (S&D), DAUCHY Marie (PfE), BORRÁS PABÓN Mireia (PfE), ZALEWSKA Anna (ECR), KATAINEN Elsi (Renew), HÄUSLING Martin (Greens/EFA), OHISALO Maria (Greens/EFA), CLAUSEN Per (The Left), FLANAGAN Luke Ming (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1766803
2023/0378(COD),"Protective measures against pests of plants: multiannual survey programmes, notifications concerning the presence of regulated non-quarantine pests, temporary derogations from import prohibitions and special import requirements and establishment of procedures for granting them, temporary import requirements for high risk plants, plant products and other objects, establishment of procedures for the listing of high risk plants, content of phytosanitary certificates, use of plant passports and certain reporting requirements for demarcated areas and surveys of pest",AGUILERA Clara (S&D),"BUDA Daniel (EPP), MÜLLER Ulrike (Renew), RUISSEN Bert-Jan (ECR), FLANAGAN Luke Ming (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762426
2023/0369(COD),"Amending certain Directives concerning food and food ingredients, outdoor noise, patients’ rights and radio equipment as regards certain reporting requirements",SINČIĆ Ivan Vilibor (NI),"VAIDERE Inese (EPP), ALBUQUERQUE João (S&D), TORVALDS Nils (Renew), EICKHOUT Bas (Greens/EFA), VONDRA Alexandr (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762222
2023/0228(COD),Production and marketing of forest reproductive material,DORFMANN Herbert (EPP),"CARVALHAIS Isabel (S&D), TOLLERET Irène (Renew), HÄUSLING Martin (Greens/EFA), RUISSEN Bert-Jan (ECR), DAVID Ivan (ID), FLANAGAN Luke Ming (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1750444
2023/0227(COD),Production and marketing of plant reproductive material in the Union,DORFMANN Herbert (EPP),"CARVALHAIS Isabel (S&D), TOLLERET Irène (Renew), HÄUSLING Martin (Greens/EFA), RUISSEN Bert-Jan (ECR), DAVID Ivan (ID), FLANAGAN Luke Ming (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1750427
2023/0226(COD),Plants obtained by certain new genomic techniques and their food and feed,POLFJÄRD Jessica (EPP),"CLERGEAU Christophe (S&D), SARDONE Silvia (PfE), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1750454
2023/0128(COD),Supplementary protection certificate for plant protection products. Recast,WÖLKEN Tiemo (S&D),"ZARZALEJOS Javier (EPP), ZŁOTOWSKI Kosma (ECR), SAEIDI Arash (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742325
2023/0126(COD),Unitary supplementary protection certificate for plant protection products,WÖLKEN Tiemo (S&D),"ZARZALEJOS Javier (EPP), ZŁOTOWSKI Kosma (ECR), SAEIDI Arash (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742345
2023/0105(COD),Foodstuffs for human consumption: amending certain 'Breakfast' Directives,BERNHUBER Alexander (EPP),"SIDL Günther (S&D), CANFIN Pascal (Renew), RIPA Manuela (Greens/EFA), VONDRA Alexandr (ECR), GANCIA Gianna (ID), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1741740
2023/0062(COD),"Specific rules relating to the entry into Northern Ireland from other parts of the United Kingdom of certain consignments of retail goods, plants for planting, seed potatoes, machinery and certain vehicles operated for agricultural or forestry purposes, as well as non-commercial movements of certain pet animals into Northern Ireland","CANFIN Pascal (Renew), HLAVÁČEK Martin (Renew)","MARKEY Colm (EPP), CLUNE Deirdre (EPP), DE CASTRO Paolo (S&D), COVASSI Beatrice (S&D), METZ Tilly (Greens/EFA), EICKHOUT Bas (Greens/EFA), VONDRA Alexandr (ECR), RUISSEN Bert-Jan (ECR), SARDONE Silvia (ID), VILLANUEVA RUIZ Idoia (The Left), MACMANUS Chris (The Left)",
2023/0049(COD),Digital labelling of EU fertilising products,GRAPINI Maria (S&D),"MANDERS Antonius (EPP), RINZEMA Catharina (Renew), GUERREIRO Francisco (Greens/EFA), BIELAN Adam (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1734831
2022/0390(COD),Labelling of organic pet food,HÄUSLING Martin (Greens/EFA),"SCHMIEDTBAUER Simone (EPP), BIELOWSKI Theresa (S&D), VAUTMANS Hilde (Renew), FRAGKOS Emmanouil (ECR), HAZEKAMP Anja (The Left)",
2022/0210(COD),European environmental economic accounts: new modules,CANFIN Pascal (Renew),"MARTUSCIELLO Fulvio (EPP), JERKOVIĆ Romana (S&D), EICKHOUT Bas (Greens/EFA), VONDRA Alexandr (ECR), KOKKALIS Petros (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1711058
2022/0192(COD),Agricultural holdings: conversion of the Farm Accountancy Data Network into a Farm Sustainability Data Network,DECERLE Jérémy (Renew),"MOTREANU Dan-Ştefan (EPP), LAURETI Camilla (S&D), BITEAU Benoît (Greens/EFA), JURGIEL Krzysztof (ECR), KOKKALIS Petros (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1708456
2022/0196(COD),Sustainable use of plant protection products,WIENER Sarah (Greens/EFA),"BERNHUBER Alexander (EPP), ARENA Maria (S&D), HUITEMA Jan (Renew), VONDRA Alexandr (ECR), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1708667
