document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2024/0148(COD),EU/Euratom Agreement on the interpretation and application of the Energy Charter Treaty: adoption by the Union,"BUDKA Borys (EPP), CAVAZZINI Anna (Greens/EFA)","CASPARY Daniel (EPP), NICA Dan (S&D), GÁLVEZ Lina (S&D), SZYDŁO Beata (ECR), KOLS Rihards (ECR), VEDRENNE Marie-Pierre (Renew), COTRIM DE FIGUEIREDO João (Renew), BLOSS Michael (Greens/EFA), MESURE Marina (The Left), SYPNIEWSKI Marcin (ESN), AUST René (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1785947
2023/0077B(COD),Union’s electricity market design,GONZÁLEZ CASARES Nicolás (S&D),"CARVALHO Maria da Graça (EPP), PETERSEN Morten (Renew), BLOSS Michael (Greens/EFA), KRASNODĘBSKI Zdzisław (ECR), BORCHIA Paolo (ID), MESURE Marina (The Left)",
2023/0362(COD),Amending certain road transport and aviation Directives as regards certain reporting requirements,OETJEN Jan-Christoph (Renew),"MARINESCU Marian-Jean (EPP), CERDAS Sara (S&D), ZĪLE Roberts (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762259
2023/0272(COD),"Mercury: dental amalgam and other mercury-added products subject to manufacturing, import and export restrictions",MORTLER Marlene (EPP),"FRITZON Heléne (S&D), AMALRIC Catherine (Renew), METZ Tilly (Greens/EFA), VONDRA Alexandr (ECR), VILLUMSEN Nikolaj (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1752265
2023/0077A(COD),Union’s electricity market design,GONZÁLEZ CASARES Nicolás (S&D),"CARVALHO Maria da Graça (EPP), PETERSEN Morten (Renew), BLOSS Michael (Greens/EFA), KRASNODĘBSKI Zdzisław (ECR), BORCHIA Paolo (ID), MESURE Marina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1737021
2023/0076(COD),Wholesale energy market: Union’s protection against market manipulation,CARVALHO Maria da Graça (EPP),"TOIA Patrizia (S&D), GAMON Claudia (Renew), DALUNDE Jakop G. (Greens/EFA), KRASNODĘBSKI Zdzisław (ECR), BORCHIA Paolo (ID), MESURE Marina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1737035
2022/0164(COD),REPowerEU chapters in recovery and resilience plans,"MUREŞAN Siegfried (EPP), GARDIAZABAL RUBIAL Eider (S&D), PÎSLARU Dragoş (Renew)","MAVRIDES Costas (S&D), URTASUN Ernest (Greens/EFA), ZĪLE Roberts (ECR), RINALDI Antonio Maria (ID), GUSMÃO José (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1704902
2022/0090(COD),Security of gas supply and conditions for access to natural gas transmission networks,BUŞOI Cristian-Silviu (EPP),,
2021/0425(COD),Gas and hydrogen markets directive (common rules),GEIER Jens (S&D),"BUZEK Jerzy (EPP), GAMON Claudia (Renew), CORRAO Ignazio (Greens/EFA), TOBISZOWSKI Grzegorz (ECR), MARIANI Thierry (ID), ERNST Cornelia (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1686794
2021/0424(COD),Gas and hydrogen markets regulation,BUZEK Jerzy (EPP),"TOIA Patrizia (S&D), GROŠELJ Klemen (Renew), TOUSSAINT Marie (Greens/EFA), KRASNODĘBSKI Zdzisław (ECR), BORCHIA Paolo (ID), PEREIRA Sandra (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1686822
