document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2023/0376(COD),Amending ADR Directive and certain other consumer protection directives,BALLARÍN CEREZA Laura (S&D),"VAIDERE Inese (EPP), TUREK Filip (PfE), PIPEREA Gheorghe (ECR), YON-COURTIN Stéphanie (Renew), LANGENSIEPEN Katrin (Greens/EFA), GEDIN Hanna (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762241
2023/0375(COD),Discontinuation of the European ODR Platform,BALLARÍN CEREZA Laura (S&D),"VAIDERE Inese (EPP), PIPEREA Gheorghe (ECR), YON-COURTIN Stéphanie (Renew), LANGENSIEPEN Katrin (Greens/EFA)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762210
2023/0368(COD),Company law: time limits for the adoption of sustainability reporting standards for certain sectors and for certain third-country undertakings,VOSS Axel (EPP),"DURAND Pascal (S&D), KARLESKIND Pierre (Renew), TOUSSAINT Marie (Greens/EFA), STANCANELLI Raffaele (ECR), AUBRY Manon (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762251
2023/0314(COD),Use of the Internal Market Information System and the Single Digital Gateway for the purposes of certain requirements laid down by Directive on European cross-border associations,GEDIN Hanna (The Left),"AGIUS Peter (EPP), GRAPINI Maria (S&D), SCHALLER-BAROSS Ernő (PfE), MÜLLER Piotr (ECR), STÜRGKH Anna (Renew), VAN SPARRENTAK Kim (Greens/EFA)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1780540
2023/0323(COD),Commercial transactions: combating late payment,IJABS Ivars (Renew),"DOHERTY Regina (EPP), PENKOVA Tsvetelina (S&D), MARTÍN FRÍAS Jorge (PfE), POZŅAKS Reinis (ECR), VAN LANSCHOT Reinier (Greens/EFA)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1757221
2023/0315(COD),European cross-border associations,LAGODINSKY Sergey (Greens/EFA),"ABADÍA JOVER Maravillas (EPP), WOLTERS Lara (S&D), FURORE Mario (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1755878
2023/0202(COD),General Data Protection Regulation: additional procedural rules relating to the enforcement of the Regulation,GREGOROVÁ Markéta (Greens/EFA),"VOSS Axel (EPP), VIGENIN Kristian (S&D), OZDOBA Jacek (ECR), MCNAMARA Michael (Renew), DEMIREL Özlem (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1749973
2023/0089(COD),Company law: further expanding and upgrading the use of digital tools and processes,RADEV Emil (EPP),"LEITÃO-MARQUES Maria-Manuel (S&D), DZHAMBAZKI Angel (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1739290
2022/0411(COD),Making public capital markets in the Union more attractive for companies and facilitating access to capital for small and medium-sized enterprises,SANT Alfred (S&D),"VAIDERE Inese (EPP), GRUFFAT Claude (Greens/EFA), VAN OVERTVELDT Johan (ECR), GRANT Valentino (ID), PAPADIMOULIS Dimitrios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1726889
2022/0408(COD),Harmonising certain aspects of insolvency law,RADEV Emil (EPP),"REPASI René (S&D), DIEPEVEEN Ton (PfE), PIPEREA Gheorghe (ECR), TOOM Jana (Renew), PETER-HANSEN Kira Marie (Greens/EFA), SAEIDI Arash (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1726821
2022/0406(COD),Multiple-vote share structures,SANT Alfred (S&D),"VAIDERE Inese (EPP), GRUFFAT Claude (Greens/EFA), VAN OVERTVELDT Johan (ECR), GRANT Valentino (ID), PAPADIMOULIS Dimitrios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1726885
2022/0405(COD),Making public capital markets in the Union more attractive for companies and facilitating access to capital for small and medium-sized enterprises,SANT Alfred (S&D),"VAIDERE Inese (EPP), GRUFFAT Claude (Greens/EFA), VAN OVERTVELDT Johan (ECR), GRANT Valentino (ID), PAPADIMOULIS Dimitrios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1726879
2022/0269(COD),Prohibiting products made with forced labour on the Union market,"LEITÃO-MARQUES Maria-Manuel (S&D), RAFAELA Samira (Renew)","SCHWAB Andreas (EPP), WARBORN Jörgen (EPP), GLUCKSMANN Raphaël (S&D), HAHN Svenja (Renew), BRICMONT Saskia (Greens/EFA), CAVAZZINI Anna (Greens/EFA), HOOGEVEEN Michiel (ECR), ZŁOTOWSKI Kosma (ECR), BASSO Alessandra (ID), PELLETIER Anne-Sophie (The Left), SCHOLZ Helmut (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1715816
2022/0115(COD),Geographical indication protection for craft and industrial products,WALSMANN Marion (EPP),"GARCÍA DEL BLANCO Ibán (S&D), VÁZQUEZ LÁZARA Adrián (Renew), LAGODINSKY Sergey (Greens/EFA), STANCANELLI Raffaele (ECR), BASSO Alessandra (ID), MAUREL Emmanuel (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1701219
2022/0051(COD),Corporate Sustainability Due Diligence,WOLTERS Lara (S&D),"VOSS Axel (EPP), VÁZQUEZ LÁZARA Adrián (Renew), HAUTALA Heidi (Greens/EFA), BUXADÉ VILLALBA Jorge (ECR), LEBRETON Gilles (ID), AUBRY Manon (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1694290
2021/0136(COD),European Digital Identity framework,JERKOVIĆ Romana (S&D),"TERRAS Riho (EPP), MITUȚA Alin (Renew), PEKSA Mikuláš (Greens/EFA), ROOS Robert (ECR), BORCHIA Paolo (ID), KOUNTOURA Elena (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1664552
2021/0118(COD),Insolvency proceedings: replacing Annexes A and B to Regulation,VÁZQUEZ LÁZARA Adrián (Renew),,https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1661518
2021/0104(COD),Corporate Sustainability Reporting Directive,DURAND Pascal (Renew),"BUDA Daniel (EPP), WOLTERS Lara (S&D), TOUSSAINT Marie (Greens/EFA), STANCANELLI Raffaele (ECR), LEBRETON Gilles (ID), AUBRY Manon (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1658843
2020/0374(COD),Digital Markets Act,SCHWAB Andreas (EPP),"REPASI René (S&D), ANSIP Andrus (Renew), KOLAJA Marcel (Greens/EFA), BIELAN Adam (ECR), JORON Virginie (ID), SCHIRDEWAN Martin (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1644120
2020/0361(COD),Digital Services Act,SCHALDEMOSE Christel (S&D),"KOKALARI Arba (EPP), CHARANZOVÁ Dita (Renew), GEESE Alexandra (Greens/EFA), BIELAN Adam (ECR), BASSO Alessandra (ID), SCHIRDEWAN Martin (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1644110
2020/0268(COD),Digital Finance: amending Directive regarding Digital Operational Resilience requirements,PEKSA Mikuláš (Greens/EFA),"BECK Gunnar (ID), SCHIRDEWAN Martin (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1632550
2018/0231(COD),"Programme for single market, competitiveness of enterprises, including small and medium-sized enterprises, and European statistics 2021–2027",BENIFEI Brando (S&D),"KOKALARI Arba (EPP), GOZI Sandro (Renew), CORMAND David (Greens/EFA), JURZYCA Eugen (ECR), JORON Virginie (ID), KONEČNÁ Kateřina (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1538156
2018/0048(COD),European crowdfunding service providers (ECSP) for business,JURZYCA Eugen (ECR),"MAYDELL Eva (PPE), HEINÄLUOMA Eero (S&D), GUSMÃO José (GUE/NGL), GIEGOLD Sven (Verts/ALE)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1526111
2016/0107(COD),Country by country reporting,"GARCÍA DEL BLANCO Ibán (S&D), REGNER Evelyn (S&D)","POSPÍŠIL Jiří (EPP), PIETIKÄINEN Sirpa (EPP), SÉJOURNÉ Stéphane (Renew), HAUTALA Heidi (Greens/EFA), URTASUN Ernest (Greens/EFA), STANCANELLI Raffaele (ECR), VAN OVERTVELDT Johan (ECR), LAPORTE Hélène (ID), AUBRY Manon (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1432017
2023/0322(CNS),Transfer pricing,PETER-HANSEN Kira Marie (Greens/EFA),"ASIMAKOPOULOU Anna-Michelle (EPP), REPASI René (S&D), BOYER Gilles (Renew), MOŻDŻANOWSKA Andżelika Anna (ECR), GUSMÃO José (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1757249
2023/0321(CNS),Business in Europe: Framework for Income Taxation (BEFIT),REGNER Evelyn (S&D),"NERUDOVÁ Danuše (EPP), POKORNÁ JERMANOVÁ Jaroslava (PfE), PELTIER Guillaume (ECR), BOYER Gilles (Renew), ANDRESEN Rasmus (Greens/EFA), AUBRY Manon (The Left), ZAJĄCZKOWSKA-HERNIK Ewa (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1757288
2023/0320(CNS),"Establishing a Head Office Tax system for micro, small and medium sized enterprises",PEREIRA Lídia (EPP),"LALUCQ Aurore (S&D), HLAVÁČEK Martin (Renew), GRUFFAT Claude (Greens/EFA), MOŻDŻANOWSKA Andżelika Anna (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1757270
2022/0154(CNS),Debt-equity bias reduction allowance and limiting the deductibility of interest for corporate income tax purposes,NIEDERMAYER Luděk (EPP),"REGNER Evelyn (S&D), BOYER Gilles (Renew), GRUFFAT Claude (Greens/EFA), HOOGEVEEN Michiel (ECR), BECK Gunnar (ID), GUSMÃO José (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1704116
2021/0433(CNS),Minimum level of taxation for multinational groups,LALUCQ Aurore (S&D),"NIEDERMAYER Luděk (EPP), BOYER Gilles (Renew), GRUFFAT Claude (Greens/EFA), JURZYCA Eugen (ECR), BECK Gunnar (ID), GUSMÃO José (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1687954
2018/0006(CNS),Common system of value added tax: special scheme for small enterprises,VAIDERE Inese (EPP),"SANT Alfred (S&D), NAGTEGAAL Caroline (Renew), JURZYCA Eugen (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1519411
2021/2054(INL),"Digitalisation of the European reporting, monitoring and audit",GRAPINI Maria (S&D),"HOHLMEIER Monika (EPP), CHASTEL Olivier (Renew), PEKSA Mikuláš (Greens/EFA), CZARNECKI Ryszard (ECR), FLANAGAN Luke Ming (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1681043
2020/2254(INL),"Fair and simpler taxation supporting the recovery strategy (EP follow-up to the July Commission’s Action Plan and its 25 initiatives in the area of VAT, business and individual taxation)",NIEDERMAYER Luděk (EPP),"BELKA Marek (S&D), PÎSLARU Dragoş (Renew), GRUFFAT Claude (Greens/EFA), MOŻDŻANOWSKA Andżelika Anna (ECR), BECK Gunnar (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1692656
2020/2129(INL),Corporate due diligence and corporate accountability,WOLTERS Lara (S&D),"VOSS Axel (EPP), DURAND Pascal (Renew), HAUTALA Heidi (Greens/EFA), BUXADÉ VILLALBA Jorge (ECR), LEBRETON Gilles (ID), AUBRY Manon (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1650632
2020/2026(INL),A statute for European cross-border associations and non-profit organisations,LAGODINSKY Sergey (Greens/EFA),"POSPÍŠIL Jiří (EPP), SÁNCHEZ AMOR Nacho (S&D), KYUCHYUK Ilhan (Renew), STANCANELLI Raffaele (ECR), BECK Gunnar (ID), AUBRY Manon (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1689646
2020/2019(INL),Digital Services Act: adapting commercial and civil law rules for commercial entities operating online,WÖLKEN Tiemo (S&D),"SZÁJER József (EPP), MELCHIOR Karen (Renew), BREYER Patrick (Greens/EFA), DZHAMBAZKI Angel (ECR), LEBRETON Gilles (ID), MAUREL Emmanuel (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1636979
2023/2110(INI),"Increasing innovation, industrial and technological competitiveness through a favourable environment for start-ups and scale-ups",PENKOVA Tsvetelina (S&D),"MELBĀRDE Dace (EPP), IJABS Ivars (Renew), BOESELAGER Damian (Greens/EFA), LIZZI Elena (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1770373
2023/2058(INI),Role of tax policy in times of crisis,PETER-HANSEN Kira Marie (Greens/EFA),"PEREIRA Lídia (EPP), REGNER Evelyn (S&D), HLAVÁČEK Martin (Renew), MOŻDŻANOWSKA Andżelika Anna (ECR), GUSMÃO José (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1764553
2023/2019(INI),Implementation of the 2018 Geoblocking Regulation in the Digital Single Market,MAZUREK Beata (ECR),"CLUNE Deirdre (EPP), ANGEL Marc (S&D), THUN UND HOHENSTEIN Róża (Renew), VAN SPARRENTAK Kim (Greens/EFA), BUCHHEIT Markus (ID), KOULOGLOU Stelios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1764550
2022/2146(INI),Further reform of corporate taxation rules,BENJUMEA BENJUMEA Isabel (EPP),"MARQUES Pedro (S&D), HLAVÁČEK Martin (Renew), GRUFFAT Claude (Greens/EFA), MOŻDŻANOWSKA Andżelika Anna (ECR), AUBRY Manon (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1765664
2022/2080(INI),Lessons learnt from the Pandora Papers and other revelations,FUGLSANG Niels (S&D),"DORFMANN Herbert (EPP), KELLEHER Billy (Renew), CARÊME Damien (Greens/EFA), MOŻDŻANOWSKA Andżelika Anna (ECR), GUSMÃO José (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1739127
2021/2201(INI),The impact of new technologies on taxation: crypto and blockchain,PEREIRA Lídia (EPP),"LALUCQ Aurore (S&D), HLAVÁČEK Martin (Renew), PEKSA Mikuláš (Greens/EFA), MOŻDŻANOWSKA Andżelika Anna (ECR), BECK Gunnar (ID), SCHIRDEWAN Martin (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1711016
2021/2179(INI),The EU Action plan for the social economy,CAÑAS Jordi (Renew),"TOMAC Eugen (EPP), FRITZON Heléne (S&D), LANGENSIEPEN Katrin (Greens/EFA), DE LA PISA CARRIÓN Margarita (ECR), REIL Guido (ID), ARVANITIS Konstantinos (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1710758
2021/2080(INI),Reaching women's economic independence through entrepreneurship and self-employment,WEISS-EHLER Pernille (EPP),"BIEDROŃ Robert (S&D), SOLÍS PÉREZ Susana (Renew), PETER-HANSEN Kira Marie (Greens/EFA), STEGRUD Jessica (ECR), MODIG Silvia (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1700457
2021/2010(INI),"Digital taxation: OECD negotiations, tax residency of digital companies and a possible European Digital Tax","SCHWAB Andreas (EPP), HLAVÁČEK Martin (Renew)","FUGLSANG Niels (S&D), CARÊME Damien (Greens/EFA), JAKI Patryk (ECR), DONATO Francesca (ID), SCHIRDEWAN Martin (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1656899
2021/2005(INI),Democracy at work: A European framework for employees' participation rights and the revision of the European Works Council Directive,BISCHOFF Gabriele (S&D),"MANDL Lukas (EPP), RAFAELA Samira (Renew), REINTKE Terry (Greens/EFA), RAFALSKA Elżbieta (ECR), REIL Guido (ID), PEREIRA Sandra (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1684069
2020/2137(INI),Sustainable corporate governance,DURAND Pascal (Renew),"LEBRETON Gilles (ID), AUBRY Manon (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1645008
2020/2131(INI),A new strategy for European SMEs,BORCHIA Paolo (ID),"CUTAJAR Josianne (S&D), DLABAJOVÁ Martina (Renew), HAHN Henrike (Greens/EFA), ROOS Robert (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1641453
2023/2816(DEA),Sustainability reporting standards,NIEBLER Angelika (EPP),,
