document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2023/0453(COD),"Common data platform on chemicals, establishing a monitoring and outlook framework for chemicals",TSIODRAS Dimitris (EPP),"CLERGEAU Christophe (S&D), TIMGREN Beatrice (ECR), HOJSÍK Martin (Renew), PAULUS Jutta (Greens/EFA), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1769044
2023/0455(COD),Chemicals: re-attribution of scientific and technical tasks and improving cooperation among Union agencies,TSIODRAS Dimitris (EPP),"CLERGEAU Christophe (S&D), TIMGREN Beatrice (ECR), HOJSÍK Martin (Renew), PAULUS Jutta (Greens/EFA), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1768943
2023/0454(COD),Restriction of the use of certain hazardous substances in electrical and electronic equipment: re-attribution of scientific and technical tasks to the European Chemicals Agency,TSIODRAS Dimitris (EPP),"CLERGEAU Christophe (S&D), TIMGREN Beatrice (ECR), HOJSÍK Martin (Renew), PAULUS Jutta (Greens/EFA), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1768956
2023/0378(COD),"Protective measures against pests of plants: multiannual survey programmes, notifications concerning the presence of regulated non-quarantine pests, temporary derogations from import prohibitions and special import requirements and establishment of procedures for granting them, temporary import requirements for high risk plants, plant products and other objects, establishment of procedures for the listing of high risk plants, content of phytosanitary certificates, use of plant passports and certain reporting requirements for demarcated areas and surveys of pest",AGUILERA Clara (S&D),"BUDA Daniel (EPP), MÜLLER Ulrike (Renew), RUISSEN Bert-Jan (ECR), FLANAGAN Luke Ming (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762426
2023/0373(COD),Preventing plastic pellet losses to reduce microplastic pollution,LUENA César (S&D),"SOMMEN Liesbet (EPP), BONTE Barbara (PfE), FIOCCHI Pietro (ECR), KARLSBRO Karin (Renew), PAULUS Jutta (Greens/EFA), FARANTOURIS Nikolas (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1761908
2023/0369(COD),"Amending certain Directives concerning food and food ingredients, outdoor noise, patients’ rights and radio equipment as regards certain reporting requirements",SINČIĆ Ivan Vilibor (NI),"VAIDERE Inese (EPP), ALBUQUERQUE João (S&D), TORVALDS Nils (Renew), EICKHOUT Bas (Greens/EFA), VONDRA Alexandr (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762222
2023/0362(COD),Amending certain road transport and aviation Directives as regards certain reporting requirements,OETJEN Jan-Christoph (Renew),"MARINESCU Marian-Jean (EPP), CERDAS Sara (S&D), ZĪLE Roberts (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762259
2023/0356(COD),Infrastructure for spatial information in the European Community (INSPIRE): certain reporting requirements,SINČIĆ Ivan Vilibor (NI),"VAIDERE Inese (EPP), WÖLKEN Tiemo (S&D), TORVALDS Nils (Renew), EICKHOUT Bas (Greens/EFA), VONDRA Alexandr (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762248
2023/0272(COD),"Mercury: dental amalgam and other mercury-added products subject to manufacturing, import and export restrictions",MORTLER Marlene (EPP),"FRITZON Heléne (S&D), AMALRIC Catherine (Renew), METZ Tilly (Greens/EFA), VONDRA Alexandr (ECR), VILLUMSEN Nikolaj (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1752265
2023/0284(COD),Circularity requirements for vehicle design and management of end-of-life vehicles,"GIESEKE Jens (EPP), SAUDARGAS Paulius (EPP)","MARAN Pierfrancesco (S&D), RICCI Matteo (S&D), TUREK Filip (PfE), SARDONE Silvia (PfE), VONDRA Alexandr (ECR), MÜLLER Piotr (ECR), IJABS Ivars (Renew), CANFIN Pascal (Renew), CORMAND David (Greens/EFA), MATTHIEU Sara (Greens/EFA), SJÖSTEDT Jonas (The Left), FLANAGAN Luke Ming (The Left), ARNDT Anja (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1751926
2023/0266(COD),Accounting of greenhouse gas emissions of transport services,"LINS Norbert (EPP), DECARO Antonio (S&D)","SOLÍS PÉREZ Susana (EPP), KALFON François (S&D), NAGYOVÁ Jana (PfE), HAIDER Roman (PfE), SZYDŁO Beata (ECR), VASCONCELOS Ana (Renew), SINKEVIČIUS Virginijus (Greens/EFA), EICKHOUT Bas (Greens/EFA), ANDERSSON Li (The Left), KYLLÖNEN Merja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1751778
2023/0234(COD),Waste Framework Directive: textiles and food waste,ZALEWSKA Anna (ECR),"TOSI Flavio (EPP), FRITZON Heléne (S&D), NAGYOVÁ Jana (PfE), BALJEU Jeannette (Renew), NORDQVIST Rasmus (Greens/EFA), FOURREAU Emma (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1750276
2023/0232(COD),Soil monitoring and resilience (Soil Monitoring Law),HOJSÍK Martin (Renew),"SCHENK Oliver (EPP), CORRADO Annalisa (S&D), BONTE Barbara (PfE), ZALEWSKA Anna (ECR), HÄUSLING Martin (Greens/EFA), RACKETE Carola (The Left), ARNDT Anja (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1750290
2023/0228(COD),Production and marketing of forest reproductive material,DORFMANN Herbert (EPP),"CARVALHAIS Isabel (S&D), TOLLERET Irène (Renew), HÄUSLING Martin (Greens/EFA), RUISSEN Bert-Jan (ECR), DAVID Ivan (ID), FLANAGAN Luke Ming (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1750444
2023/0227(COD),Production and marketing of plant reproductive material in the Union,DORFMANN Herbert (EPP),"CARVALHAIS Isabel (S&D), TOLLERET Irène (Renew), HÄUSLING Martin (Greens/EFA), RUISSEN Bert-Jan (ECR), DAVID Ivan (ID), FLANAGAN Luke Ming (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1750427
2023/0177(COD),"Transparency and integrity of Environmental, Social and Governance (ESG) rating activities",LALUCQ Aurore (S&D),"GARCÍA-MARGALLO Y MARFIL José Manuel (EPP), KELLEHER Billy (Renew), ANDRESEN Rasmus (Greens/EFA), ROOKMAKER Dorien (ECR), PAPADIMOULIS Dimitrios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1747796
2023/0171(COD),Ship-source pollution and introduction of penalties,MARINESCU Marian-Jean (EPP),"CERDAS Sara (S&D), RASMUSSEN Bergur Løkke (Renew), PAULUS Jutta (Greens/EFA), FIDANZA Carlo (ECR), CHAIBI Leila (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1746043
2023/0164(COD),Establishing the fundamental principles governing the investigation of accidents in the maritime transport sector,NAGTEGAAL Caroline (Renew),"ADAMOWICZ Magdalena (EPP), TAX Vera (S&D), DELLI Karima (Greens/EFA), FIDANZA Carlo (ECR), DALY Clare (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1746069
2023/0134(COD),CO2 emission class of heavy-duty vehicles with trailers,RICCI Matteo (S&D),"FERBER Markus (EPP), DE LA PISA CARRIÓN Margarita (PfE), FIDANZA Carlo (ECR), OETJEN Jan-Christoph (Renew), SCHILLING Lena (Greens/EFA), KYLLÖNEN Merja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742993
2023/0124(COD),Detergents and surfactants,SBAI Majdouline (Greens/EFA),SCHALDEMOSE Christel (S&D),https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742486
2023/0095(COD),Union Civil Protection Mechanism,CERDAS Sara (S&D),"MELO Nuno (EPP), ORVILLE Max (Renew), AUKEN Margrete (Greens/EFA), FIOCCHI Pietro (ECR), KOKKALIS Petros (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1740594
2023/0079(COD),Framework for ensuring a secure and sustainable supply of critical raw materials,BEER Nicola (Renew),"BENTELE Hildegard (EPP), CHAHIM Mohammed (S&D), HAHN Henrike (Greens/EFA), KLOC Izabela-Helena (ECR), DAUCHY Marie (ID), ERNST Cornelia (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1737576
2023/0081(COD),Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act),EHLER Christian (EPP),"PENKOVA Tsvetelina (S&D), GRUDLER Christophe (Renew), CARÊME Damien (Greens/EFA), TOŠENOVSKÝ Evžen (ECR), BORCHIA Paolo (ID), BOTENGA Marc (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1737583
2021/0211B(COD),"Monitoring, reporting and verification of greenhouse gas emissions from maritime transport",LIESE Peter (EPP),"CHAHIM Mohammed (S&D), WIESNER Emma (Renew), BLOSS Michael (Greens/EFA), VONDRA Alexandr (ECR), LANCINI Danilo Oscar (ID), MODIG Silvia (The Left)",
