document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2024/0098(COD),General Fisheries Commission for the Mediterranean (GFCM): fishing in the GFCM Agreement area,ZOVKO Željana (EPP),"BAJADA Thomas (S&D), CISINT Anna Maria (PfE), MILAZZO Giuseppe (ECR), WIESNER Emma (Renew), LÖVIN Isabella (Greens/EFA), EVERDING Sebastian (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1784527
2023/0370(COD),Common organisation of the markets in fishery and aquaculture products; approval and market surveillance of agricultural and forestry vehicles and two- or three-wheel vehicles and quadricycles: certain reporting requirements,CAVAZZINI Anna (Greens/EFA),"LØKKEGAARD Morten (Renew), JURZYCA Eugen (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762262
2023/0206(COD),"Conservation, management and control measures applicable in the area covered by the Convention on future multilateral cooperation in the North-East Atlantic fisheries",GUERREIRO Francisco (Greens/EFA),"MILLÁN MON Francisco José (EPP), ALBUQUERQUE João (S&D), BILBAO BARANDICA Izaskun (Renew), ILČIĆ Ladislav (ECR), PIMENTA LOPES João (The Left)",
2023/0062(COD),"Specific rules relating to the entry into Northern Ireland from other parts of the United Kingdom of certain consignments of retail goods, plants for planting, seed potatoes, machinery and certain vehicles operated for agricultural or forestry purposes, as well as non-commercial movements of certain pet animals into Northern Ireland","CANFIN Pascal (Renew), HLAVÁČEK Martin (Renew)","MARKEY Colm (EPP), CLUNE Deirdre (EPP), DE CASTRO Paolo (S&D), COVASSI Beatrice (S&D), METZ Tilly (Greens/EFA), EICKHOUT Bas (Greens/EFA), VONDRA Alexandr (ECR), RUISSEN Bert-Jan (ECR), SARDONE Silvia (ID), VILLANUEVA RUIZ Idoia (The Left), MACMANUS Chris (The Left)",
2023/0056(COD),Conservation and enforcement measures applicable in the Regulatory Area of the Northwest Atlantic Fisheries Organisation (NAFO),O'SULLIVAN Grace (Greens/EFA),"HERBST Niclas (EPP), CARVALHAIS Isabel (S&D), BILBAO BARANDICA Izaskun (Renew), ILČIĆ Ladislav (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1735643
2022/0348(COD),"Laying down management, conservation and control measures applicable in the Area covered under the Southern Indian Ocean Fisheries Agreement (SIOFA)",PIMENTA LOPES João (The Left),"MONTEIRO DE AGUIAR Cláudia (EPP), CARVALHAIS Isabel (S&D), BILBAO BARANDICA Izaskun (Renew), KELLER Ska (Greens/EFA), ILČIĆ Ladislav (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1722675
2022/0118(COD),Additional crisis measures to support the EU fishery and aquaculture sectors in the context of Russia's invasion of Ukraine,MELO Nuno (EPP),"MATIĆ Predrag Fred (S&D), BILBAO BARANDICA Izaskun (Renew), D'AMATO Rosa (Greens/EFA), RAFALSKA Elżbieta (ECR), CONTE Rosanna (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1701226
2022/0111(COD),"International Commission for the Conservation of Atlantic Tunas (ICCAT): amendments to the management, conservation and control measures applicable in the Convention Area",AGUILERA Clara (S&D),"MATO Gabriel (EPP), BILBAO BARANDICA Izaskun (Renew), ROOSE Caroline (Greens/EFA), STANCANELLI Raffaele (ECR), TARDINO Annalisa (ID), PIMENTA LOPES João (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1701466
2022/0035(COD),Conservation and enforcement measures applicable in the Regulatory Area of the Northwest Atlantic Fisheries Organisation (NAFO),CARVALHAIS Isabel (S&D),"MONTEIRO DE AGUIAR Cláudia (EPP), GADE Søren (Renew), GUERREIRO Francisco (Greens/EFA), ILČIĆ Ladislav (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1693452
2021/0248(COD),General Fisheries Commission for the Mediterranean (GFCM): fishing in the GFCM Agreement area. Recast,ILČIĆ Ladislav (ECR),"CARVALHO Maria da Graça (EPP), CARVALHAIS Isabel (S&D), CHRISTENSEN Asger (Renew), KELLER Ska (Greens/EFA), GRANT Valentino (ID), PIMENTA LOPES João (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1672091
