document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2024/0061(COD),European Defence Industry Programme and framework of measures to ensure the timely availability and supply of defence products (‘EDIP’),"BELLAMY François-Xavier (EPP), GLUCKSMANN Raphaël (S&D)","GAHLER Michael (EPP), MANIATIS Yannis (S&D), STÖTELER Sebastiaan (PfE), THIONNET Pierre-Romain (PfE), DONAZZAN Elena (ECR), IJABS Ivars (Renew), LOISEAU Nathalie (Renew), SINKEVIČIUS Virginijus (Greens/EFA), NEUMANN Hannah (Greens/EFA), BOTENGA Marc (The Left), NEUHOFF Hans (ESN), KNAFO Sarah (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1778848
2023/0453(COD),"Common data platform on chemicals, establishing a monitoring and outlook framework for chemicals",TSIODRAS Dimitris (EPP),"CLERGEAU Christophe (S&D), TIMGREN Beatrice (ECR), HOJSÍK Martin (Renew), PAULUS Jutta (Greens/EFA), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1769044
2023/0455(COD),Chemicals: re-attribution of scientific and technical tasks and improving cooperation among Union agencies,TSIODRAS Dimitris (EPP),"CLERGEAU Christophe (S&D), TIMGREN Beatrice (ECR), HOJSÍK Martin (Renew), PAULUS Jutta (Greens/EFA), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1768943
2023/0454(COD),Restriction of the use of certain hazardous substances in electrical and electronic equipment: re-attribution of scientific and technical tasks to the European Chemicals Agency,TSIODRAS Dimitris (EPP),"CLERGEAU Christophe (S&D), TIMGREN Beatrice (ECR), HOJSÍK Martin (Renew), PAULUS Jutta (Greens/EFA), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1768956
2023/0373(COD),Preventing plastic pellet losses to reduce microplastic pollution,LUENA César (S&D),"SOMMEN Liesbet (EPP), BONTE Barbara (PfE), FIOCCHI Pietro (ECR), KARLSBRO Karin (Renew), PAULUS Jutta (Greens/EFA), FARANTOURIS Nikolas (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1761908
2023/0370(COD),Common organisation of the markets in fishery and aquaculture products; approval and market surveillance of agricultural and forestry vehicles and two- or three-wheel vehicles and quadricycles: certain reporting requirements,CAVAZZINI Anna (Greens/EFA),"LØKKEGAARD Morten (Renew), JURZYCA Eugen (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762262
2023/0362(COD),Amending certain road transport and aviation Directives as regards certain reporting requirements,OETJEN Jan-Christoph (Renew),"MARINESCU Marian-Jean (EPP), CERDAS Sara (S&D), ZĪLE Roberts (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762259
2023/0265(COD),Road vehicles: maximum weights and dimensions,SERRANO SIERRA Rosa (S&D),"FERBER Markus (EPP), ZŁOTOWSKI Kosma (ECR), OETJEN Jan-Christoph (Renew), SCHILLING Lena (Greens/EFA), KYLLÖNEN Merja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1751794
2023/0284(COD),Circularity requirements for vehicle design and management of end-of-life vehicles,"GIESEKE Jens (EPP), SAUDARGAS Paulius (EPP)","MARAN Pierfrancesco (S&D), RICCI Matteo (S&D), TUREK Filip (PfE), SARDONE Silvia (PfE), VONDRA Alexandr (ECR), MÜLLER Piotr (ECR), IJABS Ivars (Renew), CANFIN Pascal (Renew), CORMAND David (Greens/EFA), MATTHIEU Sara (Greens/EFA), SJÖSTEDT Jonas (The Left), FLANAGAN Luke Ming (The Left), ARNDT Anja (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1751926
2023/0134(COD),CO2 emission class of heavy-duty vehicles with trailers,RICCI Matteo (S&D),"FERBER Markus (EPP), DE LA PISA CARRIÓN Margarita (PfE), FIDANZA Carlo (ECR), OETJEN Jan-Christoph (Renew), SCHILLING Lena (Greens/EFA), KYLLÖNEN Merja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742993
2023/0124(COD),Detergents and surfactants,SBAI Majdouline (Greens/EFA),SCHALDEMOSE Christel (S&D),https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742486
2023/0090(COD),Approval and market surveillance of non-road mobile machinery circulating on public roads,VANDENKENDELAERE Tom (EPP),"LEITÃO-MARQUES Maria-Manuel (S&D), IJABS Ivars (Renew), GALLÉE Malte (Greens/EFA), MAZUREK Beata (ECR), KONEČNÁ Kateřina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1739211
2023/0079(COD),Framework for ensuring a secure and sustainable supply of critical raw materials,BEER Nicola (Renew),"BENTELE Hildegard (EPP), CHAHIM Mohammed (S&D), HAHN Henrike (Greens/EFA), KLOC Izabela-Helena (ECR), DAUCHY Marie (ID), ERNST Cornelia (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1737576
2023/0081(COD),Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act),EHLER Christian (EPP),"PENKOVA Tsvetelina (S&D), GRUDLER Christophe (Renew), CARÊME Damien (Greens/EFA), TOŠENOVSKÝ Evžen (ECR), BORCHIA Paolo (ID), BOTENGA Marc (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1737583
2023/0042(COD),Strengthening the CO2 emission performance targets for new heavy-duty vehicles,EICKHOUT Bas (Greens/EFA),"GIESEKE Jens (EPP), SCHALDEMOSE Christel (S&D), CANFIN Pascal (Renew), FIOCCHI Pietro (ECR), SARDONE Silvia (ID), VILLUMSEN Nikolaj (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1734116
2023/0025(COD),Waste electrical and electronic equipment (WEEE),ZALEWSKA Anna (ECR),"MELBĀRDE Dace (EPP), ENGERER Cyrus (S&D), THUN UND HOHENSTEIN Róża (Renew), GALLÉE Malte (Greens/EFA), MATIAS Marisa (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1732968
2022/0432(COD),"Classification, labelling and packaging of substances and mixtures",SPYRAKI Maria (EPP),"ALBUQUERQUE João (S&D), HOJSÍK Martin (Renew), PAULUS Jutta (Greens/EFA), FIOCCHI Pietro (ECR), LANCINI Danilo Oscar (ID), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1728501
2022/0365(COD),Type-approval of motor vehicles and engines with respect to their emissions and battery durability (Euro 7),VONDRA Alexandr (ECR),"GIESEKE Jens (EPP), SCHALDEMOSE Christel (S&D), SOLÍS PÉREZ Susana (Renew), EICKHOUT Bas (Greens/EFA), LIMMER Sylvia (ID), VILLUMSEN Nikolaj (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1723260
2022/0303(COD),Adapting non-contractual civil liability rules to artificial intelligence (AI Liability Directive),VOSS Axel (EPP),"BENIFEI Brando (S&D), STANCANELLI Raffaele (PfE), ZŁOTOWSKI Kosma (ECR), LAGODINSKY Sergey (Greens/EFA), FURORE Mario (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1717964
2022/0219(COD),European Defence Industry Reinforcement through common Procurement Act (EDIRPA),"GAHLER Michael (EPP), KRASNODĘBSKI Zdzisław (ECR)","SKYTTEDAL Sara (EPP), YONCHEVA Elena (S&D), ZORRINHO Carlos (S&D), TUDORACHE Dragoş (Renew), RIQUET Dominique (Renew), DALUNDE Jakop G. (Greens/EFA), NEUMANN Hannah (Greens/EFA), KRASNODĘBSKI Zdzisław (ECR), MARIANI Thierry (ID), BONFRISCO Anna (ID), BOTENGA Marc (The Left), WALLACE Mick (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1712399
2022/0104(COD),Industrial Emissions Directive,KANEV Radan (EPP),"CHAHIM Mohammed (S&D), WIEZIK Michal (Renew), PAULUS Jutta (Greens/EFA), ZALEWSKA Anna (ECR), LANCINI Danilo Oscar (ID), MATIAS Marisa (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1700248
2022/0094(COD),New Regulation on Construction Products,DOLESCHAL Christian (EPP),"GRAPINI Maria (S&D), GOZI Sandro (Renew), GRUFFAT Claude (Greens/EFA), FIDANZA Carlo (ECR), BASSO Alessandra (ID), KONEČNÁ Kateřina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1698978
2022/0032(COD),Chips Act,NICA Dan (S&D),"MAYDELL Eva (EPP), GROOTHUIS Bart (Renew), HAHN Henrike (Greens/EFA), NISSINEN Johan (ECR), DAUCHY Marie (ID), BOTENGA Marc (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1692567
2021/0426(COD),Energy performance of buildings,CUFFE Ciarán (Greens/EFA),"KELLY Seán (EPP), PENKOVA Tsvetelina (S&D), PETERSEN Morten (Renew), ILČIĆ Ladislav (ECR), TOVAGLIERI Isabella (ID), MATIAS Marisa (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1686799
2021/0291(COD),Radio Equipment Directive: common charger for electronic devices,AGIUS SALIBA Alex (S&D),"KOVATCHEV Andrey (EPP), THUN UND HOHENSTEIN Róża (Renew), CAVAZZINI Anna (Greens/EFA), ZŁOTOWSKI Kosma (ECR), KONEČNÁ Kateřina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1675630
2021/0197(COD),CO2 emission standards for cars and vans,HUITEMA Jan (Renew),"GIESEKE Jens (EPP), CERDAS Sara (S&D), EICKHOUT Bas (Greens/EFA), FIOCCHI Pietro (ECR), LIMMER Sylvia (ID), KONEČNÁ Kateřina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1670181
2021/0106(COD),Artificial Intelligence Act,"BENIFEI Brando (S&D), TUDORACHE Dragoş (Renew)","CLUNE Deirdre (EPP), VOSS Axel (EPP), VITANOV Petar (S&D), HAHN Svenja (Renew), LAGODINSKY Sergey (Greens/EFA), VAN SPARRENTAK Kim (Greens/EFA), ZŁOTOWSKI Kosma (ECR), ROOKEN Rob (ECR), MADISON Jaak (ID), LACAPELLE Jean-Lin (ID), ERNST Cornelia (The Left), KONEČNÁ Kateřina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1658804
2021/0105(COD),Regulation on machinery products,ŠTEFANEC Ivan (EPP),"MALDONADO LÓPEZ Adriana (S&D), HAHN Svenja (Renew), CORMAND David (Greens/EFA), FIDANZA Carlo (ECR), KONEČNÁ Kateřina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1658733
2021/0049(COD),European Partnership on Metrology,CARVALHO Maria da Graça (EPP),"CUTAJAR Josianne (S&D), PEKKARINEN Mauri (Renew), NIINISTÖ Ville (Greens/EFA), ROOS Robert (ECR), BORCHIA Paolo (ID), MATIAS Marisa (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1651796
2018/0254(COD),European Defence Fund 2021–2027,KRASNODĘBSKI Zdzisław (ECR),"BELLAMY François-Xavier (EPP), TOIA Patrizia (S&D), RIQUET Dominique (Renew), BLOSS Michael (Greens/EFA), TOVAGLIERI Isabella (ID), BOTENGA Marc (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1539192
2018/0236(COD),Space programme 2021–2027 and European Union Agency for the Space Programme,SALINI Massimiliano (PPE),"ZORRINHO Carlos (S&D), GRUDLER Christophe (Renew), BOESELAGER Damian (Greens/EFA), TOŠENOVSKÝ Evžen (ECR), TOVAGLIERI Isabella (ID), BOMPARD Manuel (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1538437
2018/0231(COD),"Programme for single market, competitiveness of enterprises, including small and medium-sized enterprises, and European statistics 2021–2027",BENIFEI Brando (S&D),"KOKALARI Arba (EPP), GOZI Sandro (Renew), CORMAND David (Greens/EFA), JURZYCA Eugen (ECR), JORON Virginie (ID), KONEČNÁ Kateřina (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1538156
2018/0148(COD),Labelling of tyres: fuel efficiency and other essential parameters,VIRKKUNEN Henna (EPP),"KUMPULA-NATRI Miapetra (S&D), RIQUET Dominique (Renew), PAULUS Jutta (Greens/EFA), TOBISZOWSKI Grzegorz (ECR), MATIAS Marisa (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1534327
2024/0016(CNS),EuroHPC initiative for start-ups to boost European leadership in trustworthy Artificial Intelligence,CARVALHO Maria da Graça (EPP),"HRISTOV Ivo (S&D), SOLÍS PÉREZ Susana (Renew), NIINISTÖ Ville (Greens/EFA), ROOS Robert (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1773384
2024/0049(BUD),Mobilisation of the European Globalisation Adjustment Fund: redundancies in the metal sector in Germany,GEIER Jens (S&D),"COLLADO JIMÉNEZ Ana (EPP), DLABAJOVÁ Martina (Renew), VANA Monika (Greens/EFA), RZOŃCA Bogdan (ECR), PAPADIMOULIS Dimitrios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1777529
2024/0044(BUD),Mobilisation of the European Globalisation Adjustment Fund: redundancies in the food industry in Denmark,LEWANDOWSKI Janusz (EPP),"LARROUTUROU Pierre (S&D), VANA Monika (Greens/EFA), RZOŃCA Bogdan (ECR), PAPADIMOULIS Dimitrios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1777507
2023/0352(BUD),Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail trade sector in Belgium,SARVAMAA Petri (EPP),"LARROUTUROU Pierre (S&D), CHASTEL Olivier (Renew), VANA Monika (Greens/EFA), RZOŃCA Bogdan (ECR), PAPADIMOULIS Dimitrios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1761476
2023/0068(BUD),Mobilisation of the European Globalisation Adjustment Fund: redundancies in the metal sector in Spain,GARDIAZABAL RUBIAL Eider (S&D),"WINZIG Angelika (EPP), VANA Monika (Greens/EFA), KUHS Joachim (ID), PAPADIMOULIS Dimitrios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1737303
2022/0010(BUD),Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in Spain,VANA Monika (Greens/EFA),"WINZIG Angelika (EPP), GARDIAZABAL RUBIAL Eider (S&D), RZOŃCA Bogdan (ECR), LAPORTE Hélène (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1689804
2021/0356(BUD),Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in Spain,GONZÁLEZ PONS Esteban (EPP),"GARDIAZABAL RUBIAL Eider (S&D), HOJSÍK Martin (Renew), VANA Monika (Greens/EFA), RZOŃCA Bogdan (ECR), PAPADIMOULIS Dimitrios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1681257
2021/0316(BUD),Mobilisation of the European Globalisation Adjustment Fund: redundancies in metal products manufacturing in Spain,GARDIAZABAL RUBIAL Eider (S&D),"FERNANDES José Manuel (EPP), GARICANO Luis (Renew), VANA Monika (Greens/EFA), RZOŃCA Bogdan (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1677513
2021/0107(BUD),Mobilisation of the European Globalisation Adjustment Fund: redundancies in the metal manufacturing industry in Germany,GEIER Jens (S&D),"HOHLMEIER Monika (EPP), KÖRNER Moritz (Renew), VANA Monika (Greens/EFA), RZOŃCA Bogdan (ECR), KUHS Joachim (ID), PAPADIMOULIS Dimitrios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1659374
2021/0109(BUD),Mobilisation of the European Globalisation Adjustment Fund: redundancies in the air transport services in Belgium,CHASTEL Olivier (Renew),"FERNANDES José Manuel (EPP), BIEDROŃ Robert (S&D), VANA Monika (Greens/EFA), RZOŃCA Bogdan (ECR), KUHS Joachim (ID), PAPADIMOULIS Dimitrios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1659509
2019/2114(BUD),Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail trade sector in Belgium,FERNANDES José Manuel (EPP),"UŠAKOVS Nils (S&D), CHASTEL Olivier (Renew), VANA Monika (Greens/EFA), RZOŃCA Bogdan (ECR), LAPORTE Hélène (ID), OMARJEE Younous (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1593732
2022/0033(NLE),Joint Undertakings under Horizon Europe: Chips Joint Undertaking,MAYDELL Eva (EPP),"GÁLVEZ Lina (S&D), IJABS Ivars (Renew), HAHN Henrike (Greens/EFA), NISSINEN Johan (ECR), BOTENGA Marc (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1692545
2018/0429(NLE),"EC/Korea Cooperation Ageeement on a Civil Global Navigation Satellite System (GNSS): accession of Bulgaria, Croatia and Romania to the EU. Protocol",BUŞOI Cristian-Silviu (EPP),,https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1567649
2023/2051(INL),EU framework for the social and professional situation of artists and workers in the cultural and creative sectors,"MANDERS Antonius (EPP), RUIZ DEVESA Domènec (S&D)","FOURLAS Loucas (EPP), RONDINELLI Daniela (S&D), JOVEVA Irena (Renew), YENBOU Salima (Renew), FRANZ Romeo (Greens/EFA), NIENASS Niklas (Greens/EFA), SZYDŁO Beata (ECR), SLABAKOV Andrey (ECR), RODRÍGUEZ PALOP Eugenia (The Left), MICHELS Martina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1763692
2020/2019(INL),Digital Services Act: adapting commercial and civil law rules for commercial entities operating online,WÖLKEN Tiemo (S&D),"SZÁJER József (EPP), MELCHIOR Karen (Renew), BREYER Patrick (Greens/EFA), DZHAMBAZKI Angel (ECR), LEBRETON Gilles (ID), MAUREL Emmanuel (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1636979
