document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2024/0035(COD),Combating the sexual abuse and sexual exploitation of children and child sexual abuse material. Recast,LENAERS Jeroen (EPP),"KALJURAND Marina (S&D), VARAUT Alexandre (PfE), KANKO Assita (ECR), VAUTMANS Hilde (Renew), BRICMONT Saskia (Greens/EFA), SERRA SÁNCHEZ Isabel (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1774950
2023/0463(COD),Establishing harmonised requirements in the internal market on transparency of interest representation carried out on behalf of third countries,VĂLEAN Adina (EPP),"AGIUS SALIBA Alex (S&D), JORON Virginie (PfE), NESCI Denis (ECR), GOZI Sandro (Renew), GEESE Alexandra (Greens/EFA), CHAIBI Leila (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1770028
2023/0462(COD),Amending Regulations on the Internal Market Information System (IMI) and on the Single digital gateway as regards certain harmonisation requirements on transparency,VĂLEAN Adina (EPP),"AGIUS SALIBA Alex (S&D), SCHALLER-BAROSS Ernő (PfE), NESCI Denis (ECR), GOZI Sandro (Renew), GEESE Alexandra (Greens/EFA), CHAIBI Leila (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1770025
2023/0452(COD),Amending Interim Regulation on a temporary derogation from certain provisions of the ePrivacy Directive for the purpose of combating online child sexual abuse,SIPPEL Birgit (S&D),"ZARZALEJOS Javier (EPP), IN 'T VELD Sophia (Renew), BREYER Patrick (Greens/EFA), TARDINO Annalisa (ID), ERNST Cornelia (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1768115
2023/0375(COD),Discontinuation of the European ODR Platform,BALLARÍN CEREZA Laura (S&D),"VAIDERE Inese (EPP), PIPEREA Gheorghe (ECR), YON-COURTIN Stéphanie (Renew), LANGENSIEPEN Katrin (Greens/EFA)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762210
2023/0369(COD),"Amending certain Directives concerning food and food ingredients, outdoor noise, patients’ rights and radio equipment as regards certain reporting requirements",SINČIĆ Ivan Vilibor (NI),"VAIDERE Inese (EPP), ALBUQUERQUE João (S&D), TORVALDS Nils (Renew), EICKHOUT Bas (Greens/EFA), VONDRA Alexandr (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762222
2023/0314(COD),Use of the Internal Market Information System and the Single Digital Gateway for the purposes of certain requirements laid down by Directive on European cross-border associations,GEDIN Hanna (The Left),"AGIUS Peter (EPP), GRAPINI Maria (S&D), SCHALLER-BAROSS Ernő (PfE), MÜLLER Piotr (ECR), STÜRGKH Anna (Renew), VAN SPARRENTAK Kim (Greens/EFA)",
2023/0205(COD),Framework for Financial Data Access,VAN OVERTVELDT Johan (ECR),"DOHERTY Regina (EPP), HEINÄLUOMA Eero (S&D), KOVAŘÍK Ondřej (PfE), YON-COURTIN Stéphanie (Renew), ANDRESEN Rasmus (Greens/EFA), SARAMO Jussi (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1749409
2023/0109(COD),"Measures to strengthen solidarity and capacities in the Union to detect, prepare for and respond to cybersecurity threats and incidents",GÁLVEZ Lina (S&D),"NIEBLER Angelika (EPP), GROOTHUIS Bart (Renew), NIINISTÖ Ville (Greens/EFA), TOŠENOVSKÝ Evžen (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1741284
2023/0108(COD),Managed security services,CUTAJAR Josianne (S&D),"NIEBLER Angelika (EPP), GROOTHUIS Bart (Renew), NIINISTÖ Ville (Greens/EFA), TOŠENOVSKÝ Evžen (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1741334
2023/0046(COD),Measures to reduce the cost of deploying gigabit electronic communications networks,MITUȚA Alin (Renew),"WINZIG Angelika (EPP), COVASSI Beatrice (S&D), NIENASS Niklas (Greens/EFA), NISSINEN Johan (ECR), MAYER Georg (ID), KOUNTOURA Elena (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1734710
2022/0379(COD),Measures for a high level of public sector interoperability across the Union (Interoperable Europe Act),IJABS Ivars (Renew),"FALCĂ Gheorghe (EPP), CUTAJAR Josianne (S&D), SOLÉ Jordi (Greens/EFA), NISSINEN Johan (ECR), DAUCHY Marie (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1724443
2022/0358(COD),Data collection and sharing relating to short-term accommodation rental services,VAN SPARRENTAK Kim (Greens/EFA),"THALER Barbara (EPP), BENIFEI Brando (S&D), IJABS Ivars (Renew), FIDANZA Carlo (ECR), BASSO Alessandra (ID), KONEČNÁ Kateřina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1723258
2022/0326(COD),European Year of Skills 2023,FOURLAS Loucas (EPP),"ALBUQUERQUE João (S&D), BRUNET Sylvie (Renew), LANGENSIEPEN Katrin (Greens/EFA), RAFALSKA Elżbieta (ECR), LIZZI Elena (ID), RODRÍGUEZ PALOP Eugenia (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1720120
2022/0303(COD),Adapting non-contractual civil liability rules to artificial intelligence (AI Liability Directive),VOSS Axel (EPP),"BENIFEI Brando (S&D), STANCANELLI Raffaele (PfE), ZŁOTOWSKI Kosma (ECR), LAGODINSKY Sergey (Greens/EFA), FURORE Mario (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1717964
2022/0277(COD),European Media Freedom Act,VERHEYEN Sabine (EPP),"KAMMEREVERT Petra (S&D), JOVEVA Irena (Renew), RIBA I GINER Diana (Greens/EFA), SLABAKOV Andrey (ECR), GRISET Catherine (ID), KOULOGLOU Stelios (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1716429
2022/0272(COD),Cyber Resilience Act,DANTI Nicola (Renew),"VIRKKUNEN Henna (EPP), COVASSI Beatrice (S&D), CORRAO Ignazio (Greens/EFA), TOŠENOVSKÝ Evžen (ECR), GAZZINI Matteo (ID), BOTENGA Marc (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1716157
2022/0155(COD),Combating child sexual abuse online,ZARZALEJOS Javier (EPP),"AGIUS SALIBA Alex (S&D), TÂNGER CORRÊA António (PfE), WIŚNIEWSKA Jadwiga (ECR), VAUTMANS Hilde (Renew), GREGOROVÁ Markéta (Greens/EFA), SERRA SÁNCHEZ Isabel (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1704092
2022/0140(COD),European Health Data Space,"SOKOL Tomislav (EPP), TARDINO Annalisa (ID)","ZARZALEJOS Javier (EPP), CERDAS Sara (S&D), VITANOV Petar (S&D), SOLÍS PÉREZ Susana (Renew), ĎURIŠ NICHOLSONOVÁ Lucia (Renew), METZ Tilly (Greens/EFA), BREYER Patrick (Greens/EFA), KEMPA Beata (ECR), KOPCIŃSKA Joanna (ECR), LIMMER Sylvia (ID), KONEČNÁ Kateřina (The Left), ARVANITIS Konstantinos (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1703041
2022/0117(COD),Protection of journalists and human rights defenders from manifestly unfounded or abusive court proceedings,WÖLKEN Tiemo (S&D),"ADAMOWICZ Magdalena (EPP), CICUREL Ilana (Renew), TOUSSAINT Marie (Greens/EFA), BUXADÉ VILLALBA Jorge (ECR), LEBRETON Gilles (ID), AUBRY Manon (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1702308
2022/0085(COD),"High common level of cybersecurity at the institutions, bodies, offices and agencies of the Union",VIRKKUNEN Henna (EPP),"KUMPULA-NATRI Miapetra (S&D), BILBAO BARANDICA Izaskun (Renew), PEKSA Mikuláš (Greens/EFA), TOŠENOVSKÝ Evžen (ECR), BUCHHEIT Markus (ID), BOTENGA Marc (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1697722
2022/0084(COD),"Information security in the institutions, bodies, offices and agencies of the Union",DÜPONT Lena (EPP),"VIGENIN Kristian (S&D), LEGGERI Fabrice (PfE), FRIIS Sigrid (Renew)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1697706
2022/0047(COD),Data Act,DEL CASTILLO VERA Pilar (EPP),"KUMPULA-NATRI Miapetra (S&D), MITUȚA Alin (Renew), BOESELAGER Damian (Greens/EFA), DE LA PISA CARRIÓN Margarita (ECR), LIZZI Elena (ID), KOUNTOURA Elena (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1694341
2022/0039(COD),Union Secure Connectivity Programme 2023-2027,GRUDLER Christophe (Renew),"SALINI Massimiliano (EPP), HRISTOV Ivo (S&D), NIENASS Niklas (Greens/EFA), TOŠENOVSKÝ Evžen (ECR), ADINOLFI Matteo (ID), BOTENGA Marc (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1693315
2021/0414(COD),Improving working conditions of persons working through digital labour platforms,GUALMINI Elisabetta (S&D),"RADTKE Dennis (EPP), ĎURIŠ NICHOLSONOVÁ Lucia (Renew), VAN SPARRENTAK Kim (Greens/EFA), ZALEWSKA Anna (ECR), LIZZI Elena (ID), CHAIBI Leila (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1685563
2021/0395(COD),Digitalisation of cross-border judicial cooperation (amendment of certain directives and framework decisions),"RADEV Emil (EPP), KALJURAND Marina (S&D)","MELO Nuno (EPP), LEITÃO-MARQUES Maria-Manuel (S&D), KELLER Fabienne (Renew), TOOM Jana (Renew), DELBOS-CORFIELD Gwendoline (Greens/EFA), JAKI Patryk (ECR), ZŁOTOWSKI Kosma (ECR), DALY Clare (The Left), MAUREL Emmanuel (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1684850
2021/0394(COD),Digitalisation of cross-border judicial cooperation,"RADEV Emil (EPP), KALJURAND Marina (S&D)","MELO Nuno (EPP), LEITÃO-MARQUES Maria-Manuel (S&D), TOOM Jana (Renew), KELLER Fabienne (Renew), DELBOS-CORFIELD Gwendoline (Greens/EFA), ZŁOTOWSKI Kosma (ECR), JAKI Patryk (ECR), DALY Clare (The Left), MAUREL Emmanuel (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1684859
