document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2023/0207(COD),Partnership for research and innovation in the Mediterranean area (PRIMA): continuation of the Union’s participation,BORCHIA Paolo (ID),"CARVALHO Maria da Graça (EPP), GÁLVEZ Lina (S&D), FLEGO Valter (Renew), SOLÉ Jordi (Greens/EFA), ILČIĆ Ladislav (ECR), PEREIRA Sandra (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1749072
2023/0130(COD),Supplementary protection certificate for medicinal products. Recast,WÖLKEN Tiemo (S&D),"ZARZALEJOS Javier (EPP), ZŁOTOWSKI Kosma (ECR), SAEIDI Arash (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742287
2023/0128(COD),Supplementary protection certificate for plant protection products. Recast,WÖLKEN Tiemo (S&D),"ZARZALEJOS Javier (EPP), ZŁOTOWSKI Kosma (ECR), SAEIDI Arash (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742325
2023/0133(COD),Standard essential patents,WALSMANN Marion (EPP),"WÖLKEN Tiemo (S&D), ZŁOTOWSKI Kosma (ECR), FURORE Mario (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742293
2023/0129(COD),Compulsory licensing of patents in crisis situations,VÁZQUEZ LÁZARA Adrián (EPP),"WÖLKEN Tiemo (S&D), ZŁOTOWSKI Kosma (ECR), FARRENG Laurence (Renew), LAGODINSKY Sergey (Greens/EFA), FURORE Mario (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742331
2023/0127(COD),Unitary supplementary certificate for medicinal products,WÖLKEN Tiemo (S&D),"ZARZALEJOS Javier (EPP), ZŁOTOWSKI Kosma (ECR), SAEIDI Arash (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742309
2023/0126(COD),Unitary supplementary protection certificate for plant protection products,WÖLKEN Tiemo (S&D),"ZARZALEJOS Javier (EPP), ZŁOTOWSKI Kosma (ECR), SAEIDI Arash (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742345
2022/0392(COD),Industrial property: legal protection of designs. Recast,LEBRETON Gilles (ID),"MANDERS Antonius (EPP), GARCÍA DEL BLANCO Ibán (S&D), KARLESKIND Pierre (Renew), BREYER Patrick (Greens/EFA), STANCANELLI Raffaele (ECR), MAUREL Emmanuel (The Left)",
2022/0391(COD),Industrial property: protection of Community design,LEBRETON Gilles (ID),"MANDERS Antonius (EPP), GARCÍA DEL BLANCO Ibán (S&D), KARLESKIND Pierre (Renew), BREYER Patrick (Greens/EFA), STANCANELLI Raffaele (ECR), MAUREL Emmanuel (The Left)",
2022/0115(COD),Geographical indication protection for craft and industrial products,WALSMANN Marion (EPP),"GARCÍA DEL BLANCO Ibán (S&D), VÁZQUEZ LÁZARA Adrián (Renew), LAGODINSKY Sergey (Greens/EFA), STANCANELLI Raffaele (ECR), BASSO Alessandra (ID), MAUREL Emmanuel (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1701219
