document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2024/0011(COD),Inland waterway transport: River Information Services (RIS),BERENDSEN Tom (EPP),"KALFON François (S&D), BLOM Rachel (PfE), VAN DIJCK Kris (ECR), DEVAUX Valérie (Renew), TEGETHOFF Kai (Greens/EFA), KYLLÖNEN Merja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1773607
2023/0437(COD),Transport: enforcement of passenger rights in the Union,RICCI Matteo (S&D),"NOVAKOV Andrey (EPP), KRIŠTOPANS Vilis (PfE), ZŁOTOWSKI Kosma (ECR), OETJEN Jan-Christoph (Renew), MARZÀ IBÁÑEZ Vicent (Greens/EFA), SAEIDI Arash (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1768086
2023/0436(COD),Passenger rights in the context of multimodal journeys,GIESEKE Jens (EPP),"SCHIEDER Andreas (S&D), KOVAŘÍK Ondřej (PfE), ZŁOTOWSKI Kosma (ECR), OETJEN Jan-Christoph (Renew), TEGETHOFF Kai (Greens/EFA), SAEIDI Arash (The Left), STOYANOV Stanislav (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1768091
2023/0396(COD),Combined transport: support framework for intermodal transport of goods; calculation of external costs savings and generation of aggregated data,TOSI Flavio (EPP),"COSTANZO Vivien (S&D), CISINT Anna Maria (PfE), FIDANZA Carlo (ECR), AGIRREGOITIA MARTÍNEZ Oihane (Renew), SINKEVIČIUS Virginijus (Greens/EFA), SAEIDI Arash (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1764712
2023/0362(COD),Amending certain road transport and aviation Directives as regards certain reporting requirements,OETJEN Jan-Christoph (Renew),"MARINESCU Marian-Jean (EPP), CERDAS Sara (S&D), ZĪLE Roberts (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762259
2023/0361(COD),Amending certain road transport and aviation Regulations as regards certain reporting requirements,OETJEN Jan-Christoph (Renew),"MARINESCU Marian-Jean (EPP), CERDAS Sara (S&D), ZĪLE Roberts (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1762269
2023/0265(COD),Road vehicles: maximum weights and dimensions,SERRANO SIERRA Rosa (S&D),"FERBER Markus (EPP), ZŁOTOWSKI Kosma (ECR), OETJEN Jan-Christoph (Renew), SCHILLING Lena (Greens/EFA), KYLLÖNEN Merja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1751794
2023/0284(COD),Circularity requirements for vehicle design and management of end-of-life vehicles,"GIESEKE Jens (EPP), SAUDARGAS Paulius (EPP)","MARAN Pierfrancesco (S&D), RICCI Matteo (S&D), TUREK Filip (PfE), SARDONE Silvia (PfE), VONDRA Alexandr (ECR), MÜLLER Piotr (ECR), IJABS Ivars (Renew), CANFIN Pascal (Renew), CORMAND David (Greens/EFA), MATTHIEU Sara (Greens/EFA), SJÖSTEDT Jonas (The Left), FLANAGAN Luke Ming (The Left), ARNDT Anja (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1751926
2023/0271(COD),Single European railway area: use of railway infrastructure capacity,METZ Tilly (Greens/EFA),"FALCĂ Gheorghe (EPP), DANIELSSON Johan (S&D), KOVAŘÍK Ondřej (PfE), KRUTÍLEK Ondřej (ECR), DEVAUX Valérie (Renew), SAEIDI Arash (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1751769
2023/0266(COD),Accounting of greenhouse gas emissions of transport services,"LINS Norbert (EPP), DECARO Antonio (S&D)","SOLÍS PÉREZ Susana (EPP), KALFON François (S&D), NAGYOVÁ Jana (PfE), HAIDER Roman (PfE), SZYDŁO Beata (ECR), VASCONCELOS Ana (Renew), SINKEVIČIUS Virginijus (Greens/EFA), EICKHOUT Bas (Greens/EFA), ANDERSSON Li (The Left), KYLLÖNEN Merja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1751778
2023/0192(COD),"Empowering France to negotiate, sign and conclude an international agreement on the safety and interoperability requirements within the Channel Fixed Link",VITANOV Petar (S&D),"WARBORN Jörgen (EPP), RIQUET Dominique (Renew), PORĘBA Tomasz Piotr (ECR), CHAIBI Leila (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1748338
2023/0172(COD),Compliance with flag State requirements,TAX Vera (S&D),"NOVAK Ljudmila (EPP), KARLESKIND Pierre (Renew), DELLI Karima (Greens/EFA), VAN OVERTVELDT Johan (ECR), DALY Clare (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1746055
2023/0171(COD),Ship-source pollution and introduction of penalties,MARINESCU Marian-Jean (EPP),"CERDAS Sara (S&D), RASMUSSEN Bergur Løkke (Renew), PAULUS Jutta (Greens/EFA), FIDANZA Carlo (ECR), CHAIBI Leila (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1746043
2023/0165(COD),Port State control,TAX Vera (S&D),"NOVAK Ljudmila (EPP), KARLESKIND Pierre (Renew), CORRAO Ignazio (Greens/EFA), VAN OVERTVELDT Johan (ECR), DALY Clare (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1746087
2023/0164(COD),Establishing the fundamental principles governing the investigation of accidents in the maritime transport sector,NAGTEGAAL Caroline (Renew),"ADAMOWICZ Magdalena (EPP), TAX Vera (S&D), DELLI Karima (Greens/EFA), FIDANZA Carlo (ECR), DALY Clare (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1746069
2023/0163(COD),European Maritime Safety Agency,HUMBERTO Sérgio (EPP),"GONÇALVES Sérgio (S&D), KRIŠTOPANS Vilis (PfE), ZĪLE Roberts (ECR), KABILOV Taner (Renew), BALJEU Jeannette (Renew), PAULUS Jutta (Greens/EFA), KYLLÖNEN Merja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1746080
2023/0155(COD),Minimum requirements on minimum breaks and daily and weekly rest periods in the occasional passenger transport sector,VIRKKUNEN Henna (EPP),"GARCÍA MUÑOZ Isabel (S&D), NAGTEGAAL Caroline (Renew), CUFFE Ciarán (Greens/EFA), ZĪLE Roberts (ECR), KONEČNÁ Kateřina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1744999
2023/0134(COD),CO2 emission class of heavy-duty vehicles with trailers,RICCI Matteo (S&D),"FERBER Markus (EPP), DE LA PISA CARRIÓN Margarita (PfE), FIDANZA Carlo (ECR), OETJEN Jan-Christoph (Renew), SCHILLING Lena (Greens/EFA), KYLLÖNEN Merja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742993
2021/0211B(COD),"Monitoring, reporting and verification of greenhouse gas emissions from maritime transport",LIESE Peter (EPP),"CHAHIM Mohammed (S&D), WIESNER Emma (Renew), BLOSS Michael (Greens/EFA), VONDRA Alexandr (ECR), LANCINI Danilo Oscar (ID), MODIG Silvia (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1740077
2023/0055(COD),Union-wide effect of certain driving disqualifications,RICCI Matteo (S&D),"FERBER Markus (EPP), HAIDER Roman (PfE), CICCIOLI Carlo (ECR), AGIRREGOITIA MARTÍNEZ Oihane (Renew), METZ Tilly (Greens/EFA), KOUNTOURA Elena (The Left), DROESE Siegbert Frank (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1735164
2023/0053(COD),Driving licences,PAULUS Jutta (Greens/EFA),"ŁUKACIJEWSKA Elżbieta Katarzyna (EPP), RICCI Matteo (S&D), BORCHIA Paolo (PfE), FIDANZA Carlo (ECR), DEVAUX Valérie (Renew), KOUNTOURA Elena (The Left), DROESE Siegbert Frank (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1735156
2023/0052(COD),Cross-border exchange of information on road-safety-related traffic offences,ZŁOTOWSKI Kosma (ECR),"LUTGEN Benoît (EPP), LIBERADZKI Bogusław (S&D), BILBAO BARANDICA Izaskun (Renew), CUFFE Ciarán (Greens/EFA), KOUNTOURA Elena (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1735149
2023/0042(COD),Strengthening the CO2 emission performance targets for new heavy-duty vehicles,EICKHOUT Bas (Greens/EFA),"GIESEKE Jens (EPP), SCHALDEMOSE Christel (S&D), CANFIN Pascal (Renew), FIOCCHI Pietro (ECR), SARDONE Silvia (ID), VILLUMSEN Nikolaj (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1734116
