node,display_name,country,citations,first_publication,community
A5012701585,Michael Inzlicht,CA,2105,2015,0
A5022754313,Hause Lin,CA,511,2017,0
A5044056170,Carolyn K. Dean Wolf,US,291,2018,0
A5067008528,Romy Frömer,US,427,2011,0
A5071496598,Amitai Shenhav,US,5539,2012,0
A5010205815,Andrew Westbrook,US,111,2016,0
A5062483057,Frank Fan,CN,12,2024,0
A5045510685,Anikó Gregor,HU,140,2020,1
A5051996438,Eszter Kováts,HU,140,2020,1
A5069473136,Éva Fodor,AT,124,2020,1
A5084303908,Júlia Koltai,HU,237,2018,1
A5017534073,Michael W. Macy,US,4569,1994,2
A5034327826,Patrick Park,CA,144,2015,2
A5054622320,Joshua Blumenstock,US,807,2010,3
A5020488191,Kaitlyn M. Werner,US,669,2016,0
A5014437029,Jana Lasser,AT,154,2015,4
A5017914184,Stephan Lewandowsky,GB,18926,1983,4
A5020533147,Gordon Pennycook,US,11189,2012,5
A5056499434,David G. Rand,US,20685,2008,5
A5076732230,Andrew Gully,US,114,2021,5
A5112992954,Rocky Cole,US,114,2021,5
A5012591331,Luhang Sun,US,24,2023,2
A5027112658,Sijia Yang,CN,717,2013,2
A5056681654,Yibing Sun,US,24,2023,2
A5064270411,Liwei Shen,US,24,2023,2
A5089178335,Yoo Ji Suh,US,44,2022,6
A5103070334,Mian Wei,US,24,2023,2
A5069359768,Ray D. Bollman,CA,130,1997,7
A5085714892,John Bryden,NO,448,1991,7
A5022994077,Daphne Ippolito,US,565,2019,8
A5042805801,Arun Kirubarajan,US,44,2020,8
A5059969678,Liam Dugan,US,61,2020,8
A5066720336,Sherry Shi,US,16,2023,8
A5068508539,Chris Callison-Burch,US,4927,2003,8
A5019016245,Blair Saunders,GB,455,2015,0
A5087740106,Marina Milyavskaya,CA,942,2015,0
A5001127585,Christie Newton,US,150,2020,5
A5001549070,Puneet Bhargava,US,12,2023,5
A5036380965,Katie MacDonald,CA,12,2023,5
A5005487360,Stig S. Gezelius,NO,46,2017,7
A5027172638,Karen Refsgaard,SE,79,2008,7
A5080708019,Judith Sutz,UY,46,2017,7
A5033656008,Ingmar Weber,DE,4512,2009,9
A5037186646,Michael Macy,US,871,2010,6
A5061189564,Bogdan State,GB,389,2013,9
A5000602483,Gergely Röst,HU,18,2022,1
A5078032253,Orsolya Vásárhelyi,HU,18,2022,1
A5079596102,Márton Karsai,AT,1657,2012,10
A5011994255,Caitlin Hinson,GB,18,2022,7
A5076767393,Jimmy O’Keeffe,IE,101,2016,7
A5083597638,Alexandra Collins,GB,43,2022,7
A5088111791,Jessica Van Grootveld,Unknown,18,2022,7
A5088123066,Ana Mijić,GB,101,2016,7
A5060826510,Keith Hart,NO,65,2004,7
A5023248712,Neil J. MacKinnon,CA,132,1987,7
A5058660740,Anthony M. Fuller,CA,83,1991,7
A5073984304,Claudia Bell,NZ,62,1991,7
A5079137119,M Leroy Spearman,US,2196,1991,7
A5007972350,László Lőrincz,HU,36,2018,1
A5015566794,Károly Takács,HU,348,2008,11
A5016152627,Anna Fruzsina Győr,HU,36,2018,1
A5007791481,Zoë Francis,CA,147,2018,0
A5004047792,Etan Ginsberg,US,17,2022,8
A5046422522,Eleni Miltsakaki,US,376,2003,8
A5068377890,Shriyash Upadhyay,US,17,2022,8
A5070619747,Hannah Gonzalez,US,17,2022,8
A5076548181,DaHyeon Choi,US,17,2022,8
A5085101123,Chuning Yuan,US,17,2022,8
A5037923102,Niek C. de Schipper,NL,31,2018,12
